Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase,CTR,Conversion_Rate
Boat Rockerz 550,2024-03-09,2569,66582,43947,5711,3294,2451,1417,816,8.58,14.29
Sennheiser HD 400s,2024-03-10,3989,53739,48922,4960,2203,1843,1210,550,9.23,11.09
JBL Tune 520BT,2024-03-10,3037,78351,51558,6885,3368,2692,1966,1035,8.79,15.03
EPOS PC 8 USB A,2024-03-10,3320,64248,42785,4443,2905,1938,1101,458,6.92,10.31
Boat Rockerz 550,2024-03-10,2853,100016,66587,7201,4221,3310,1463,694,7.2,9.64
Sennheiser HD 400s,2024-03-11,4503,54239,26687,4114,1774,1754,1022,307,7.58,7.46
JBL Tune 520BT,2024-03-11,3155,50700,33171,4774,2484,1915,1448,436,9.42,9.13
EPOS PC 8 USB A,2024-03-11,4369,51113,35920,4221,1932,1578,1470,356,8.26,8.43
Boat Rockerz 550,2024-03-11,3119,64972,44729,5233,2896,2159,1278,798,8.05,15.25
Sennheiser HD 400s,2024-03-12,4203,58562,32762,4595,2849,1549,937,485,7.85,10.55
JBL Tune 520BT,2024-03-12,3196,59352,40131,5062,2090,2146,1350,552,8.53,10.9
EPOS PC 8 USB A,2024-03-12,3340,34120,29368,3826,1704,1425,651,436,11.21,11.4
Boat Rockerz 550,2024-03-12,2441,54042,39356,4875,2263,1346,1346,612,9.02,12.55
Sennheiser HD 400s,2024-03-13,4395,46297,31995,5483,2513,1892,1190,335,11.84,6.11
JBL Tune 520BT,2024-03-13,3791,44541,31129,3986,2181,1107,1107,486,8.95,12.19
EPOS PC 8 USB A,2024-03-13,4276,36840,34112,3543,1566,1641,1185,323,9.62,9.12
Boat Rockerz 550,2024-03-13,3219,69914,42354,5824,2201,1948,1331,596,8.33,10.23
Sennheiser HD 400s,2024-03-14,4917,47532,30301,4119,1856,1806,1387,371,8.67,9.01
JBL Tune 520BT,2024-03-14,2595,50707,41838,5130,2093,1851,1258,555,10.12,10.82
EPOS PC 8 USB A,2024-03-14,4296,39404,27799,3856,1834,1088,866,352,9.79,9.13
Boat Rockerz 550,2024-03-14,2444,70021,47321,5345,2978,2687,1926,697,7.63,13.04
Sennheiser HD 400s,2024-03-15,4890,59242,38854,5100,2108,1771,915,753,8.61,14.76
JBL Tune 520BT,2024-03-15,3667,50937,37065,5702,2036,1581,1293,570,11.19,10.0
EPOS PC 8 USB A,2024-03-15,3732,54261,44077,4721,2998,2064,927,432,8.7,9.15
Boat Rockerz 550,2024-03-15,3253,52825,48548,5316,2213,1861,1676,486,10.06,9.14
Sennheiser HD 400s,2024-03-16,4945,87254,58726,7946,3176,2520,2160,928,9.11,11.68
JBL Tune 520BT,2024-03-16,3593,78134,41164,4969,3215,1768,1192,492,6.36,9.9
EPOS PC 8 USB A,2024-03-16,4149,74310,46367,5535,3524,1895,1895,484,7.45,8.74
Boat Rockerz 550,2024-03-16,2894,67012,49966,5732,2683,2020,1233,612,8.55,10.68
Sennheiser HD 400s,2024-03-17,4428,58621,50886,4256,2175,2056,1738,537,7.26,12.62
JBL Tune 520BT,2024-03-17,2579,83926,55509,7840,3062,2831,1968,544,9.34,6.94
EPOS PC 8 USB A,2024-03-17,4438,66231,41513,5289,2854,1499,1347,321,7.99,6.07
Boat Rockerz 550,2024-03-17,2357,60338,51309,6363,3116,1830,1785,634,10.55,9.96
Sennheiser HD 400s,2024-03-18,4368,46199,31311,5048,2133,1245,927,473,10.93,9.37
JBL Tune 520BT,2024-03-18,3408,51025,42254,5219,2363,1971,1142,540,10.23,10.35
EPOS PC 8 USB A,2024-03-18,3823,47062,30261,5239,2162,1214,933,524,11.13,10.0
Boat Rockerz 550,2024-03-18,3305,52879,40197,4732,2581,1841,1438,450,8.95,9.51
Sennheiser HD 400s,2024-03-19,4322,71699,39720,5223,3304,2288,1534,399,7.28,7.64
JBL Tune 520BT,2024-03-19,3981,57769,38459,4056,2619,1274,864,475,7.02,11.71
EPOS PC 8 USB A,2024-03-19,3880,55029,39638,3371,2134,1245,856,331,6.13,9.82
Boat Rockerz 550,2024-03-19,2117,79112,46448,7109,2470,2011,1521,680,8.99,9.57
Sennheiser HD 400s,2024-03-20,4266,48388,30986,3550,1981,1327,653,300,7.34,8.45
JBL Tune 520BT,2024-03-20,3305,58905,40814,5812,2768,1716,1320,650,9.87,11.18
EPOS PC 8 USB A,2024-03-20,4358,48565,35745,4709,2461,1283,959,613,9.7,13.02
Boat Rockerz 550,2024-03-20,3353,72125,40976,4902,2889,1605,1408,586,6.8,11.95
Sennheiser HD 400s,2024-03-21,3610,55764,33946,4222,2375,1161,1052,627,7.57,14.85
JBL Tune 520BT,2024-03-21,2780,72802,40805,4975,2230,2208,1023,502,6.83,10.09
EPOS PC 8 USB A,2024-03-21,4489,46311,28699,4423,1955,1316,1105,360,9.55,8.14
Boat Rockerz 550,2024-03-21,2545,55646,44514,5504,1940,2043,1065,380,9.89,6.9
Sennheiser HD 400s,2024-03-22,3849,66957,38356,4138,2767,1791,962,689,6.18,16.65
JBL Tune 520BT,2024-03-22,3776,48249,34183,3889,2613,1846,1316,361,8.06,9.28
EPOS PC 8 USB A,2024-03-22,3364,55029,38349,4582,2364,1300,884,458,8.33,10.0
Boat Rockerz 550,2024-03-22,3297,52625,37686,5378,1859,1503,1368,358,10.22,6.66
Sennheiser HD 400s,2024-03-23,4754,69651,51177,4928,3549,2360,1283,424,7.08,8.6
JBL Tune 520BT,2024-03-23,2566,86948,59188,6746,2754,2123,1318,499,7.76,7.4
EPOS PC 8 USB A,2024-03-23,3747,55683,36304,4541,2641,2133,1228,713,8.16,15.7
Boat Rockerz 550,2024-03-23,2876,73475,44346,6257,2638,2159,1761,716,8.52,11.44
Sennheiser HD 400s,2024-03-24,4015,62622,40911,5496,2908,1713,1555,498,8.78,9.06
JBL Tune 520BT,2024-03-24,2742,77645,53244,6242,3760,2394,1336,990,8.04,15.86
EPOS PC 8 USB A,2024-03-24,3645,52051,50757,6265,2858,2170,1544,613,12.04,9.78
Boat Rockerz 550,2024-03-24,3458,62319,47987,5408,3027,2355,1240,424,8.68,7.84
Sennheiser HD 400s,2024-03-25,3589,57960,42621,5074,2604,1338,1310,655,8.75,12.91
JBL Tune 520BT,2024-03-25,3401,68268,49031,4345,2449,2221,1160,796,6.36,18.32
EPOS PC 8 USB A,2024-03-25,3320,43433,44045,3706,2609,1970,1364,391,8.53,10.55
Boat Rockerz 550,2024-03-25,2235,76986,47150,5759,3140,2051,1875,512,7.48,8.89
Sennheiser HD 400s,2024-03-26,4872,44429,35239,3664,1699,1231,913,429,8.25,11.71
JBL Tune 520BT,2024-03-26,2577,58536,46576,4199,2643,2183,956,445,7.17,10.6
EPOS PC 8 USB A,2024-03-26,3615,44912,38225,4649,2029,1073,1073,403,10.35,8.67
Boat Rockerz 550,2024-03-26,3006,71565,44008,4859,3321,1729,1263,562,6.79,11.57
Sennheiser HD 400s,2024-03-27,4053,51937,30747,4466,1796,1442,886,392,8.6,8.78
JBL Tune 520BT,2024-03-27,3496,67834,37613,5316,2211,2011,1431,356,7.84,6.7
EPOS PC 8 USB A,2024-03-27,3805,38453,28492,3438,1986,923,751,344,8.94,10.01
Boat Rockerz 550,2024-03-27,2843,52392,47946,4096,2519,2099,1151,607,7.82,14.82
Sennheiser HD 400s,2024-03-28,3510,59248,41177,4055,1936,1914,823,602,6.84,14.85
JBL Tune 520BT,2024-03-28,2717,51716,36644,4245,1892,1731,1297,569,8.21,13.4
EPOS PC 8 USB A,2024-03-28,4007,43271,31567,4056,2048,989,689,299,9.37,7.37
Boat Rockerz 550,2024-03-28,2050,68514,54593,6411,3222,2619,1548,722,9.36,11.26
Sennheiser HD 400s,2024-03-29,3919,51872,26471,3643,2117,1422,942,562,7.02,15.43
JBL Tune 520BT,2024-03-29,3660,87656,51993,5162,3342,2475,1433,469,5.89,9.09
EPOS PC 8 USB A,2024-03-29,4233,45486,34217,3314,2082,1625,867,430,7.29,12.98
Boat Rockerz 550,2024-03-29,2709,72082,49498,4496,2388,1598,1597,531,6.24,11.81
Sennheiser HD 400s,2024-03-30,4466,69872,60710,6832,3480,1884,1884,896,9.78,13.11
JBL Tune 520BT,2024-03-30,3060,73842,45251,6357,3679,1986,1642,896,8.61,14.09
EPOS PC 8 USB A,2024-03-30,3669,63641,46716,5592,2718,1431,982,686,8.79,12.27
Boat Rockerz 550,2024-03-30,2193,62276,43675,4660,2445,2300,1659,792,7.48,17.0
Sennheiser HD 400s,2024-03-31,4299,64000,40398,6930,2516,2026,1136,454,10.83,6.55
JBL Tune 520BT,2024-03-31,3872,76691,44850,5397,3452,2305,1535,504,7.04,9.34
EPOS PC 8 USB A,2024-03-31,4074,61420,59310,6620,3569,1704,1194,509,10.78,7.69
Boat Rockerz 550,2024-03-31,2451,93628,78427,7864,4644,2373,1964,978,8.4,12.44
Sennheiser HD 400s,2024-04-01,4904,53900,43692,4789,2489,1276,1276,681,8.88,14.22
JBL Tune 520BT,2024-04-01,3245,64553,35960,4648,2439,1499,1279,364,7.2,7.83
EPOS PC 8 USB A,2024-04-01,3904,50298,36307,5045,2355,1562,1099,384,10.03,7.61
Boat Rockerz 550,2024-04-01,2127,52048,35828,4986,2370,1844,1349,553,9.58,11.09
Sennheiser HD 400s,2024-04-02,4801,49259,24698,3209,1726,946,699,305,6.51,9.5
JBL Tune 520BT,2024-04-02,3669,60330,47016,5364,2210,1539,1539,545,8.89,10.16
EPOS PC 8 USB A,2024-04-02,3341,63569,39139,4904,2550,1990,997,409,7.71,8.34
Boat Rockerz 550,2024-04-02,2454,52531,32283,4318,2107,1813,1286,350,8.22,8.11
Sennheiser HD 400s,2024-04-03,4886,66858,36200,5010,2258,2073,861,466,7.49,9.3
JBL Tune 520BT,2024-04-03,3175,72554,52820,6338,2492,1728,1728,595,8.74,9.39
EPOS PC 8 USB A,2024-04-03,4312,49527,38345,4537,2248,1907,1030,639,9.16,14.08
Boat Rockerz 550,2024-04-03,2481,72578,39822,6234,2818,1745,1745,725,8.59,11.63
Sennheiser HD 400s,2024-04-04,4438,67366,38679,3766,1964,1421,1386,564,5.59,14.98
JBL Tune 520BT,2024-04-04,2601,59404,38758,4381,2554,1224,1062,351,7.37,8.01
EPOS PC 8 USB A,2024-04-04,4341,57153,40126,3899,2727,1939,914,544,6.82,13.95
Boat Rockerz 550,2024-04-04,3223,66707,46968,5733,2936,1964,1446,419,8.59,7.31
Sennheiser HD 400s,2024-04-05,3900,57725,36254,4522,1902,1462,1201,574,7.83,12.69
JBL Tune 520BT,2024-04-05,3382,56065,37082,4760,2436,1833,1186,371,8.49,7.79
EPOS PC 8 USB A,2024-04-05,3994,44343,29364,4696,2306,1367,1270,436,10.59,9.28
Boat Rockerz 550,2024-04-05,3121,77027,44142,5907,2565,2114,1118,445,7.67,7.53
Sennheiser HD 400s,2024-04-06,4481,60369,36397,4089,1899,1177,1177,394,6.77,9.64
JBL Tune 520BT,2024-04-06,3693,75701,68374,6365,4130,3264,1557,933,8.41,14.66
EPOS PC 8 USB A,2024-04-06,4062,71848,59109,6094,3190,2077,1457,755,8.48,12.39
Boat Rockerz 550,2024-04-06,3262,68168,44008,5636,3241,2034,1391,818,8.27,14.51
Sennheiser HD 400s,2024-04-07,4952,64783,54121,7287,2979,1887,1532,634,11.25,8.7
JBL Tune 520BT,2024-04-07,3084,59538,47041,5863,3237,1681,1186,701,9.85,11.96
EPOS PC 8 USB A,2024-04-07,3709,45016,41540,5010,2207,1591,838,376,11.13,7.5
Boat Rockerz 550,2024-04-07,2563,74166,56165,6074,3211,1918,1553,796,8.19,13.11
Sennheiser HD 400s,2024-04-08,3717,56682,37283,3642,1871,1794,1196,509,6.43,13.98
JBL Tune 520BT,2024-04-08,3622,81712,58701,6695,3457,2260,1576,630,8.19,9.41
EPOS PC 8 USB A,2024-04-08,3002,40719,34221,3382,1546,1009,916,294,8.31,8.69
Boat Rockerz 550,2024-04-08,2951,78292,51125,6224,3008,2102,1806,521,7.95,8.37
Sennheiser HD 400s,2024-04-09,4749,62360,36938,4218,2536,1729,1162,463,6.76,10.98
JBL Tune 520BT,2024-04-09,3472,60929,40321,5135,2677,1562,969,671,8.43,13.07
EPOS PC 8 USB A,2024-04-09,3697,47918,45282,5863,2003,2129,1195,623,12.24,10.63
Boat Rockerz 550,2024-04-09,2091,69303,44676,4835,2740,1933,1682,565,6.98,11.69
Sennheiser HD 400s,2024-04-10,4199,57958,28982,4102,2428,1166,1166,657,7.08,16.02
JBL Tune 520BT,2024-04-10,2581,58686,39690,4898,2207,1640,1018,488,8.35,9.96
EPOS PC 8 USB A,2024-04-10,4256,38094,36811,4026,2322,1629,1084,564,10.57,14.01
Boat Rockerz 550,2024-04-10,2466,71902,51252,5241,2507,1879,1454,473,7.29,9.02
Sennheiser HD 400s,2024-04-11,3777,60521,38335,5572,2361,1490,1161,535,9.21,9.6
JBL Tune 520BT,2024-04-11,2900,74204,56320,6010,2582,2393,1302,714,8.1,11.88
EPOS PC 8 USB A,2024-04-11,3284,53526,38083,4585,2727,1525,1245,294,8.57,6.41
Boat Rockerz 550,2024-04-11,2878,67059,48111,5801,2539,2257,1240,389,8.65,6.71
Sennheiser HD 400s,2024-04-12,3538,53182,42991,4726,2151,1401,1022,521,8.89,11.02
JBL Tune 520BT,2024-04-12,3348,60757,46030,5546,2944,1399,1184,695,9.13,12.53
EPOS PC 8 USB A,2024-04-12,4476,43855,34049,3622,2490,1562,875,424,8.26,11.71
Boat Rockerz 550,2024-04-12,3294,67268,36180,5100,2401,2060,1465,646,7.58,12.67
Sennheiser HD 400s,2024-04-13,3698,65804,38061,4424,2464,1664,1432,331,6.72,7.48
JBL Tune 520BT,2024-04-13,3796,78429,45510,7112,3110,2563,1727,575,9.07,8.08
EPOS PC 8 USB A,2024-04-13,4087,64674,58648,5085,3937,2077,1591,944,7.86,18.56
Boat Rockerz 550,2024-04-13,2010,73805,44123,7175,2640,2484,1616,548,9.72,7.64
Sennheiser HD 400s,2024-04-14,4091,61369,45431,3759,2574,1959,1089,682,6.13,18.14
JBL Tune 520BT,2024-04-14,3088,82635,54918,6304,2695,2042,1365,907,7.63,14.39
EPOS PC 8 USB A,2024-04-14,3142,58452,38168,5549,2888,1906,1447,545,9.49,9.82
Boat Rockerz 550,2024-04-14,3382,70246,52996,7856,3868,2424,1369,906,11.18,11.53
Sennheiser HD 400s,2024-04-15,3958,60706,31402,4573,2275,1572,853,708,7.53,15.48
JBL Tune 520BT,2024-04-15,3373,56379,50282,5185,2095,1548,1482,777,9.2,14.99
EPOS PC 8 USB A,2024-04-15,4170,46996,25756,4028,1910,1359,831,363,8.57,9.01
Boat Rockerz 550,2024-04-15,2913,62612,34054,4446,2247,1683,931,466,7.1,10.48
Sennheiser HD 400s,2024-04-16,3944,47362,33350,4372,1989,1415,885,298,9.23,6.82
JBL Tune 520BT,2024-04-16,3887,44155,34425,4093,1776,1619,1311,367,9.27,8.97
EPOS PC 8 USB A,2024-04-16,3865,61699,46054,4192,2511,2222,1238,619,6.79,14.77
Boat Rockerz 550,2024-04-16,3291,72080,39339,6202,2266,2385,1830,415,8.6,6.69
Sennheiser HD 400s,2024-04-17,4821,48223,27193,3414,1604,1402,972,555,7.08,16.26
JBL Tune 520BT,2024-04-17,2880,46071,31234,4016,1989,1322,917,517,8.72,12.87
EPOS PC 8 USB A,2024-04-17,3027,45218,40205,3715,2306,1635,1298,475,8.22,12.79
Boat Rockerz 550,2024-04-17,3418,66078,44342,4551,2190,1944,1423,590,6.89,12.96
Sennheiser HD 400s,2024-04-18,3632,56084,33201,4815,2563,1583,1028,335,8.59,6.96
JBL Tune 520BT,2024-04-18,3630,75847,45119,5735,2374,1869,1531,514,7.56,8.96
EPOS PC 8 USB A,2024-04-18,3619,51140,25683,4558,2289,1271,1233,507,8.91,11.12
Boat Rockerz 550,2024-04-18,2118,55780,48482,6248,2246,1751,1681,602,11.2,9.64
