Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase
HP Omen,2024-03-28,10503,133081,103994,9856,5521,4107,2789,865
Legion 5 Gen 10,2024-03-29,11822,124735,82622,10258,5145,3612,2285,800
Lenovo LOQ Gen 10,2024-03-29,9324,134138,90968,9495,4786,4330,3047,731
Apple 2025 MacBook Air,2024-03-29,11201,141593,88794,7757,5656,3745,2509,503
HP Omen,2024-03-29,11329,115104,80168,7427,3927,2930,2075,537
Legion 5 Gen 10,2024-03-30,11202,173375,117127,10111,7548,5296,3161,1062
Lenovo LOQ Gen 10,2024-03-30,9502,150000,120337,12372,7057,5424,2367,1024
Apple 2025 MacBook Air,2024-03-30,12653,144262,102238,10537,5610,4197,2061,935
HP Omen,2024-03-30,10169,151873,103908,11650,5563,4127,2521,760
Legion 5 Gen 10,2024-03-31,11136,163070,106407,11095,5990,5316,3378,687
Lenovo LOQ Gen 10,2024-03-31,9981,167278,129811,13167,5267,5818,3465,900
Apple 2025 MacBook Air,2024-03-31,11312,137753,101660,10253,4487,3218,1768,737
HP Omen,2024-03-31,11132,169577,131542,13851,7054,5603,2854,817
Legion 5 Gen 10,2024-04-01,11523,148449,109952,10203,5716,3476,2462,881
Lenovo LOQ Gen 10,2024-04-01,10147,144203,105645,11305,6183,4377,2336,618
Apple 2025 MacBook Air,2024-04-01,12546,116749,91859,8548,4275,3019,1644,808
HP Omen,2024-04-01,10779,120636,80068,8836,5009,3437,1941,686
Legion 5 Gen 10,2024-04-02,10058,151174,94236,11961,6559,4596,2230,569
Lenovo LOQ Gen 10,2024-04-02,9804,156283,113829,11556,5328,3987,2221,720
Apple 2025 MacBook Air,2024-04-02,11837,92749,66009,6987,3755,2808,1507,381
HP Omen,2024-04-02,9526,126049,95973,8347,4642,3040,2366,734
Legion 5 Gen 10,2024-04-03,10905,108192,68178,7149,3807,2571,2153,708
Lenovo LOQ Gen 10,2024-04-03,9894,145823,96967,10176,4631,4230,2896,819
Apple 2025 MacBook Air,2024-04-03,11663,104435,75212,7047,4247,3628,2034,584
HP Omen,2024-04-03,9864,118417,76728,9530,3864,4177,2150,510
Legion 5 Gen 10,2024-04-04,11240,139194,103335,11175,4685,3505,2130,915
Lenovo LOQ Gen 10,2024-04-04,8671,139131,108425,8887,5233,3846,2349,671
Apple 2025 MacBook Air,2024-04-04,11956,145650,90392,9793,6135,2886,2088,550
HP Omen,2024-04-04,10160,119637,75516,8529,3951,3574,2281,614
Legion 5 Gen 10,2024-04-05,11678,152578,96749,10303,5369,3875,3098,890
Lenovo LOQ Gen 10,2024-04-05,10305,139840,101365,9330,5490,4199,3067,933
Apple 2025 MacBook Air,2024-04-05,11989,120649,88448,6932,4651,2916,1659,386
HP Omen,2024-04-05,9687,128692,94722,10374,5005,3743,2690,633
Legion 5 Gen 10,2024-04-06,11911,149131,108078,11036,5865,4616,2586,834
Lenovo LOQ Gen 10,2024-04-06,9631,180335,124373,11329,6350,5649,3272,1028
Apple 2025 MacBook Air,2024-04-06,12439,153873,97860,11068,5664,4113,1897,890
HP Omen,2024-04-06,10963,153095,101886,8927,5432,4277,2366,907
Legion 5 Gen 10,2024-04-07,10002,124857,76952,7940,5397,3150,1844,750
Lenovo LOQ Gen 10,2024-04-07,10498,179542,125892,15985,8597,6424,4168,969
Apple 2025 MacBook Air,2024-04-07,11938,168614,111336,12429,7111,5617,2706,602
HP Omen,2024-04-07,11234,134433,97509,9141,4847,4207,2268,843
Legion 5 Gen 10,2024-04-08,10217,166834,110249,12521,7181,3709,2242,867
Lenovo LOQ Gen 10,2024-04-08,10413,137669,94414,11174,4981,4125,2100,707
Apple 2025 MacBook Air,2024-04-08,11780,124128,80319,9556,4881,2992,2200,843
HP Omen,2024-04-08,10451,137310,104288,9185,4949,4532,2038,499
Legion 5 Gen 10,2024-04-09,11418,123395,85881,8071,4624,3570,1650,743
Lenovo LOQ Gen 10,2024-04-09,9413,132323,94258,9231,6145,4143,2574,658
Apple 2025 MacBook Air,2024-04-09,11348,121133,88701,7864,4797,3357,2228,413
HP Omen,2024-04-09,10785,140292,110990,11055,4762,3865,2603,863
Legion 5 Gen 10,2024-04-10,11368,144286,90516,11316,5079,3249,2088,793
Lenovo LOQ Gen 10,2024-04-10,9554,142817,99771,11455,4658,4758,2725,600
Apple 2025 MacBook Air,2024-04-10,12741,98750,76262,7383,4519,3195,1939,458
HP Omen,2024-04-10,10365,139134,89732,11309,4526,3776,2201,568
Legion 5 Gen 10,2024-04-11,11435,121861,83263,9343,4079,4030,2099,702
Lenovo LOQ Gen 10,2024-04-11,9847,140131,102867,11118,5139,3615,2917,926
Apple 2025 MacBook Air,2024-04-11,11209,112101,79620,7668,3775,3207,2170,648
HP Omen,2024-04-11,10530,102059,69345,8425,3133,3027,1743,409
Legion 5 Gen 10,2024-04-12,10737,123448,94359,10451,5516,3040,2071,874
Lenovo LOQ Gen 10,2024-04-12,10323,134708,95228,9751,5746,3923,2307,760
Apple 2025 MacBook Air,2024-04-12,11302,130006,93781,8934,5635,4091,1940,675
HP Omen,2024-04-12,10685,117436,93886,9391,4826,3606,2500,462
Legion 5 Gen 10,2024-04-13,11562,146120,104024,10795,6824,5205,2786,694
Lenovo LOQ Gen 10,2024-04-13,8698,144335,92333,9320,5839,3627,2938,603
Apple 2025 MacBook Air,2024-04-13,11454,141717,103250,10348,6136,3521,2538,837
HP Omen,2024-04-13,9885,171950,107062,10128,6701,4087,2690,708
Legion 5 Gen 10,2024-04-14,10728,137683,99343,9364,4752,3195,2476,583
Lenovo LOQ Gen 10,2024-04-14,9569,165574,127635,11508,7004,5454,2647,882
Apple 2025 MacBook Air,2024-04-14,11241,132632,85390,10334,5528,3240,1694,580
HP Omen,2024-04-14,10370,161268,134650,13548,5523,5314,2529,1154
Legion 5 Gen 10,2024-04-15,10316,121149,93222,9536,3851,3625,1798,824
Lenovo LOQ Gen 10,2024-04-15,9215,132072,90556,9842,5676,3391,2305,954
Apple 2025 MacBook Air,2024-04-15,11899,111387,83692,6783,4023,2759,1488,637
HP Omen,2024-04-15,10477,126525,82680,9351,5190,3599,2170,727
Legion 5 Gen 10,2024-04-16,10749,142081,86157,10088,5849,3361,2534,799
Lenovo LOQ Gen 10,2024-04-16,9413,132224,80283,8479,5224,3290,2691,569
Apple 2025 MacBook Air,2024-04-16,11034,130594,86440,9557,5033,3034,2555,777
HP Omen,2024-04-16,11477,122342,84480,8338,4857,3497,2564,857
Legion 5 Gen 10,2024-04-17,11585,139517,96262,8695,5698,3454,2070,622
Lenovo LOQ Gen 10,2024-04-17,8834,133023,95326,9040,5464,3306,2193,658
Apple 2025 MacBook Air,2024-04-17,12575,139883,102715,9892,4597,3219,2268,753
HP Omen,2024-04-17,9874,122186,79392,9476,5115,3054,2230,444
Legion 5 Gen 10,2024-04-18,10129,120998,91007,10689,5746,2958,1822,646
Lenovo LOQ Gen 10,2024-04-18,9947,129262,83026,10178,5278,3976,2542,626
Apple 2025 MacBook Air,2024-04-18,12801,122150,88925,8352,3664,3832,2295,575
HP Omen,2024-04-18,10385,141304,102097,11033,5234,4698,2175,879
Legion 5 Gen 10,2024-04-19,10155,134084,79552,9659,4495,4159,2682,845
Lenovo LOQ Gen 10,2024-04-19,9816,101289,81140,8623,4251,2746,2008,641
Apple 2025 MacBook Air,2024-04-19,11690,95160,71409,8332,3200,3198,1497,597
HP Omen,2024-04-19,11320,103938,67463,7950,3986,2963,1695,592
Legion 5 Gen 10,2024-04-20,11836,156026,96453,12700,5755,3970,2126,988
Lenovo LOQ Gen 10,2024-04-20,9875,199226,128745,14392,6156,6318,4024,1066
Apple 2025 MacBook Air,2024-04-20,12993,177870,111564,10348,6013,4375,3523,1030
HP Omen,2024-04-20,10524,151027,108383,10777,5726,4846,2076,951
Legion 5 Gen 10,2024-04-21,11009,189466,121807,11850,7750,5782,3427,812
Lenovo LOQ Gen 10,2024-04-21,9088,194858,115189,13268,7859,6203,2830,917
Apple 2025 MacBook Air,2024-04-21,12617,134445,109782,9508,5920,4668,2592,899
HP Omen,2024-04-21,10224,141162,98454,11521,5607,4312,2739,896
Legion 5 Gen 10,2024-04-22,10101,150610,99632,12468,5680,4512,2949,574
Lenovo LOQ Gen 10,2024-04-22,9973,139258,88441,9404,4321,4470,3071,875
Apple 2025 MacBook Air,2024-04-22,11782,94636,72976,7639,3091,2713,1541,336
HP Omen,2024-04-22,11338,103833,74243,6449,4789,2667,2125,504
Legion 5 Gen 10,2024-04-23,11916,147382,93518,8983,5995,3748,2508,703
Lenovo LOQ Gen 10,2024-04-23,9667,118278,79309,7106,5156,3166,2209,534
Apple 2025 MacBook Air,2024-04-23,12374,116359,87189,7729,4225,2548,1996,681
HP Omen,2024-04-23,10451,110751,80086,8260,5014,3738,1662,732
Legion 5 Gen 10,2024-04-24,10140,134534,80886,10718,5216,4028,2308,766
Lenovo LOQ Gen 10,2024-04-24,10160,147742,115291,10530,6207,3656,2996,639
Apple 2025 MacBook Air,2024-04-24,11856,127919,92921,9827,4344,3577,2538,520
HP Omen,2024-04-24,10130,123840,89868,7774,5006,3433,2242,580
Legion 5 Gen 10,2024-04-25,11100,127817,88225,9002,4812,4382,2625,769
Lenovo LOQ Gen 10,2024-04-25,9897,113925,86550,8429,4539,3608,2130,698
Apple 2025 MacBook Air,2024-04-25,11743,124394,87881,8946,3581,3155,1857,780
HP Omen,2024-04-25,11304,136666,91758,9494,4846,3623,2513,683
