Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase,CTR,Conversion_Rate,CPC,CPA
realme 15 5G,2024-04-10,2252,97868,55428,7176,2065,1677,1455,456,7.33,6.35,0.31,4.94
IQOO Neo 10R 5G,2024-04-11,2765,88212,63739,7689,2809,2426,1874,669,8.72,8.7,0.36,4.13
Xiaomi 14 CIVI,2024-04-11,2926,108999,74005,7729,3210,2525,1468,822,7.09,10.64,0.38,3.56
Samsung Galaxy A35 5G,2024-04-11,2976,86325,72772,6149,2746,2298,1974,417,7.12,6.78,0.48,7.14
realme 15 5G,2024-04-11,2035,88747,82728,7777,2743,1987,1580,485,8.76,6.24,0.26,4.2
IQOO Neo 10R 5G,2024-04-12,2291,113955,90950,9695,3489,2821,1491,609,8.51,6.28,0.24,3.76
Xiaomi 14 CIVI,2024-04-12,2949,110591,77843,7751,2619,2172,1958,630,7.01,8.13,0.38,4.68
Samsung Galaxy A35 5G,2024-04-12,2980,107652,84082,8073,2929,1882,1504,652,7.5,8.08,0.37,4.57
realme 15 5G,2024-04-12,2349,99335,78229,9327,3270,2584,2067,688,9.39,7.38,0.25,3.41
IQOO Neo 10R 5G,2024-04-13,2319,105698,73050,9538,2225,2612,1621,619,9.02,6.49,0.24,3.75
Xiaomi 14 CIVI,2024-04-13,2926,127900,71971,8077,3161,1996,1996,483,6.32,5.98,0.36,6.06
Samsung Galaxy A35 5G,2024-04-13,2617,147720,101848,12683,4163,3563,2179,846,8.59,6.67,0.21,3.09
realme 15 5G,2024-04-13,2277,105701,79840,8432,2099,2101,1593,424,7.98,5.03,0.27,5.37
IQOO Neo 10R 5G,2024-04-14,2268,120527,87199,9685,3508,3161,2084,717,8.04,7.4,0.23,3.16
Xiaomi 14 CIVI,2024-04-14,3140,156072,114597,9814,3207,3182,2206,593,6.29,6.04,0.32,5.3
Samsung Galaxy A35 5G,2024-04-14,2599,132362,125899,13247,4382,3553,2777,765,10.01,5.77,0.2,3.4
realme 15 5G,2024-04-14,2003,146844,96741,7605,3594,2290,2210,955,5.18,12.56,0.26,2.1
IQOO Neo 10R 5G,2024-04-15,2579,130707,72025,7828,3252,2392,2151,750,5.99,9.58,0.33,3.44
Xiaomi 14 CIVI,2024-04-15,3129,94010,74494,5671,2253,1514,1514,627,6.03,11.06,0.55,4.99
Samsung Galaxy A35 5G,2024-04-15,2534,116323,89032,6475,2991,2378,2211,538,5.57,8.31,0.39,4.71
realme 15 5G,2024-04-15,2390,98567,80635,10130,2931,2224,1422,809,10.28,7.99,0.24,2.95
IQOO Neo 10R 5G,2024-04-16,2593,91496,75196,8547,2279,2323,1894,474,9.34,5.55,0.3,5.47
Xiaomi 14 CIVI,2024-04-16,3286,138696,97434,9832,2657,2706,1533,765,7.09,7.78,0.33,4.3
Samsung Galaxy A35 5G,2024-04-16,2716,100536,89241,8617,2707,2813,1524,569,8.57,6.6,0.32,4.77
realme 15 5G,2024-04-16,2186,103298,77891,7995,2683,2178,1604,476,7.74,5.95,0.27,4.59
IQOO Neo 10R 5G,2024-04-17,2583,114282,90490,7585,2405,2652,1404,511,6.64,6.74,0.34,5.05
Xiaomi 14 CIVI,2024-04-17,3268,93277,89422,7334,2335,2417,1397,615,7.86,8.39,0.45,5.31
Samsung Galaxy A35 5G,2024-04-17,2632,128656,78343,8040,2843,2955,2243,767,6.25,9.54,0.33,3.43
realme 15 5G,2024-04-17,2491,96632,69822,9238,2643,1756,1756,542,9.56,5.87,0.27,4.6
IQOO Neo 10R 5G,2024-04-18,2393,116524,89134,9972,2829,2200,2102,824,8.56,8.26,0.24,2.9
Xiaomi 14 CIVI,2024-04-18,3126,100728,94879,8707,2477,2144,1896,757,8.64,8.69,0.36,4.13
Samsung Galaxy A35 5G,2024-04-18,2590,118046,87021,9989,2391,2002,1837,633,8.46,6.34,0.26,4.09
realme 15 5G,2024-04-18,2057,101299,75063,5935,2714,1744,1744,328,5.86,5.53,0.35,6.27
IQOO Neo 10R 5G,2024-04-19,2704,81471,54958,8431,2329,2253,1990,460,10.35,5.46,0.32,5.88
Xiaomi 14 CIVI,2024-04-19,2959,107711,61178,6693,2240,1719,1719,605,6.21,9.04,0.44,4.89
Samsung Galaxy A35 5G,2024-04-19,2726,131093,84318,10571,2917,2057,1741,808,8.06,7.64,0.26,3.37
realme 15 5G,2024-04-19,2372,87837,57198,8010,2408,1787,1787,327,9.12,4.08,0.3,7.25
IQOO Neo 10R 5G,2024-04-20,2557,136046,97132,7713,2975,1974,1643,864,5.67,11.2,0.33,2.96
Xiaomi 14 CIVI,2024-04-20,3115,127442,65808,9317,3181,1847,1847,643,7.31,6.9,0.33,4.84
Samsung Galaxy A35 5G,2024-04-20,2700,153554,125479,14641,4014,3704,3053,1215,9.53,8.3,0.18,2.22
realme 15 5G,2024-04-20,2081,149180,98580,8542,3872,3330,2269,494,5.73,5.78,0.24,4.21
IQOO Neo 10R 5G,2024-04-21,2204,105055,99728,7356,2613,2129,1757,736,7.0,10.01,0.3,2.99
Xiaomi 14 CIVI,2024-04-21,2862,113474,70824,9193,2940,2224,2224,538,8.1,5.85,0.31,5.32
Samsung Galaxy A35 5G,2024-04-21,2904,163885,104990,11417,4069,3630,2719,1087,6.97,9.52,0.25,2.67
realme 15 5G,2024-04-21,2052,100370,62586,9448,2178,1720,1343,446,9.41,4.72,0.22,4.6
IQOO Neo 10R 5G,2024-04-22,2645,95568,65680,6557,3031,1751,1664,499,6.86,7.61,0.4,5.3
Xiaomi 14 CIVI,2024-04-22,2961,130574,73313,8967,2487,2150,1889,709,6.87,7.91,0.33,4.18
Samsung Galaxy A35 5G,2024-04-22,2754,138337,98480,11872,3151,3294,2782,652,8.58,5.49,0.23,4.22
realme 15 5G,2024-04-22,2191,86491,54585,7368,2033,1408,1408,560,8.52,7.6,0.3,3.91
IQOO Neo 10R 5G,2024-04-23,2507,126268,85628,10142,3379,2159,1954,685,8.03,6.75,0.25,3.66
Xiaomi 14 CIVI,2024-04-23,3084,120102,90799,9758,2935,2772,2491,541,8.12,5.54,0.32,5.7
Samsung Galaxy A35 5G,2024-04-23,2704,118938,63147,6024,2781,2540,2037,521,5.06,8.65,0.45,5.19
realme 15 5G,2024-04-23,2094,100359,73418,8191,2775,2643,1717,812,8.16,9.91,0.26,2.58
IQOO Neo 10R 5G,2024-04-24,2394,77911,55158,5732,2702,1512,1512,386,7.36,6.73,0.42,6.2
Xiaomi 14 CIVI,2024-04-24,2891,109927,73293,8738,2618,2275,1519,429,7.95,4.91,0.33,6.74
Samsung Galaxy A35 5G,2024-04-24,2577,111891,74509,9737,2278,2473,1548,483,8.7,4.96,0.26,5.34
realme 15 5G,2024-04-24,2349,107852,82236,6142,2848,2033,1356,709,5.69,11.54,0.38,3.31
IQOO Neo 10R 5G,2024-04-25,2452,109057,84899,6125,2758,1705,1705,401,5.62,6.55,0.4,6.11
Xiaomi 14 CIVI,2024-04-25,3015,125602,80712,7895,3369,2372,2372,512,6.29,6.49,0.38,5.89
Samsung Galaxy A35 5G,2024-04-25,2862,125717,64864,9380,2724,2543,2029,788,7.46,8.4,0.31,3.63
realme 15 5G,2024-04-25,2484,82943,69903,5713,2570,1542,1245,378,6.89,6.62,0.43,6.57
IQOO Neo 10R 5G,2024-04-26,2344,81984,62607,7070,2434,1833,1196,553,8.62,7.82,0.33,4.24
Xiaomi 14 CIVI,2024-04-26,2910,108999,71456,6411,2768,2462,1591,616,5.88,9.61,0.45,4.72
Samsung Galaxy A35 5G,2024-04-26,2505,128882,99304,11242,3502,2642,2642,880,8.72,7.83,0.22,2.85
realme 15 5G,2024-04-26,2288,90012,72018,6847,2370,1821,1489,403,7.61,5.89,0.33,5.68
IQOO Neo 10R 5G,2024-04-27,2549,121365,93570,10359,2728,2870,2567,749,8.54,7.23,0.25,3.4
Xiaomi 14 CIVI,2024-04-27,3207,126289,100761,7898,3436,2124,1590,888,6.25,11.24,0.41,3.61
Samsung Galaxy A35 5G,2024-04-27,2985,139767,93265,8878,4130,3349,2334,648,6.35,7.3,0.34,4.61
realme 15 5G,2024-04-27,2325,108888,93944,7183,2567,2344,1514,564,6.6,7.85,0.32,4.12
IQOO Neo 10R 5G,2024-04-28,2519,101884,63141,8085,2387,2256,2213,747,7.94,9.24,0.31,3.37
Xiaomi 14 CIVI,2024-04-28,2977,100138,86051,8897,3108,2077,2077,486,8.88,5.46,0.33,6.13
Samsung Galaxy A35 5G,2024-04-28,2818,147044,110031,11093,4205,3600,2527,731,7.54,6.59,0.25,3.85
realme 15 5G,2024-04-28,2443,92887,71011,6356,3142,2043,1806,529,6.84,8.32,0.38,4.62
IQOO Neo 10R 5G,2024-04-29,2712,105949,70389,9954,3076,2810,1829,807,9.4,8.11,0.27,3.36
Xiaomi 14 CIVI,2024-04-29,3115,134579,103375,8216,2802,2051,2051,941,6.1,11.45,0.38,3.31
Samsung Galaxy A35 5G,2024-04-29,2588,130466,100027,10450,3318,2625,2625,908,8.01,8.69,0.25,2.85
realme 15 5G,2024-04-29,2124,87302,58145,6241,2454,1565,1565,478,7.15,7.66,0.34,4.44
IQOO Neo 10R 5G,2024-04-30,2303,101775,77185,8627,2594,2538,2032,855,8.48,9.91,0.27,2.69
Xiaomi 14 CIVI,2024-04-30,3299,100512,79341,7460,2356,2073,1484,551,7.42,7.39,0.44,5.99
Samsung Galaxy A35 5G,2024-04-30,2984,150951,99756,10663,3144,2507,2395,937,7.06,8.79,0.28,3.18
realme 15 5G,2024-04-30,2352,91842,76913,6934,2013,2159,1331,666,7.55,9.6,0.34,3.53
IQOO Neo 10R 5G,2024-05-01,2356,107825,85987,7926,2470,2490,1942,518,7.35,6.54,0.3,4.55
Xiaomi 14 CIVI,2024-05-01,3219,137159,97523,10513,2526,2623,1504,750,7.66,7.13,0.31,4.29
Samsung Galaxy A35 5G,2024-05-01,2699,85537,73587,7932,2428,2032,1456,543,9.27,6.85,0.34,4.97
realme 15 5G,2024-05-01,2480,96265,71612,5578,2364,1727,1371,593,5.79,10.63,0.44,4.18
IQOO Neo 10R 5G,2024-05-02,2326,126765,101393,7639,3468,2403,2403,520,6.03,6.81,0.3,4.47
Xiaomi 14 CIVI,2024-05-02,3013,115969,71247,9985,3106,2351,1861,596,8.61,5.97,0.3,5.06
Samsung Galaxy A35 5G,2024-05-02,2500,142742,95858,8022,3043,3112,2555,687,5.62,8.56,0.31,3.64
realme 15 5G,2024-05-02,2201,115335,67575,6175,2930,2678,2201,453,5.35,7.34,0.36,4.86
IQOO Neo 10R 5G,2024-05-03,2585,94008,84218,6205,2508,1961,1752,505,6.6,8.14,0.42,5.12
Xiaomi 14 CIVI,2024-05-03,2978,93057,67448,6916,2686,2547,1496,600,7.43,8.68,0.43,4.96
Samsung Galaxy A35 5G,2024-05-03,2653,111832,87363,8602,2581,3004,2378,590,7.69,6.86,0.31,4.5
realme 15 5G,2024-05-03,2341,109597,66762,7078,2632,1877,1877,589,6.46,8.32,0.33,3.97
IQOO Neo 10R 5G,2024-05-04,2517,115801,78875,10478,3149,2676,2233,861,9.05,8.22,0.24,2.92
Xiaomi 14 CIVI,2024-05-04,3056,132549,76668,8011,2581,2047,1734,658,6.04,8.21,0.38,4.64
Samsung Galaxy A35 5G,2024-05-04,2763,144399,100306,13771,4240,3569,2515,1111,9.54,8.07,0.2,2.49
realme 15 5G,2024-05-04,2054,101484,89167,7340,2618,2024,1322,733,7.23,9.99,0.28,2.8
IQOO Neo 10R 5G,2024-05-05,2642,133411,85929,11443,3712,2430,1916,584,8.58,5.1,0.23,4.52
Xiaomi 14 CIVI,2024-05-05,3063,122200,79682,9032,2820,2476,1802,891,7.39,9.86,0.34,3.44
Samsung Galaxy A35 5G,2024-05-05,2664,123246,86371,7941,3495,3022,1529,841,6.44,10.59,0.34,3.17
realme 15 5G,2024-05-05,2146,142004,78992,8667,3442,2410,2410,582,6.1,6.72,0.25,3.69
IQOO Neo 10R 5G,2024-05-06,2722,93426,74234,7298,2862,2137,1396,783,7.81,10.73,0.37,3.48
Xiaomi 14 CIVI,2024-05-06,3055,100081,85657,7865,2750,2600,1728,714,7.86,9.08,0.39,4.28
Samsung Galaxy A35 5G,2024-05-06,2558,133754,92442,7653,3473,2920,2556,659,5.72,8.61,0.33,3.88
realme 15 5G,2024-05-06,2449,82470,49700,7882,1941,1992,1303,515,9.56,6.53,0.31,4.76
IQOO Neo 10R 5G,2024-05-07,2228,111282,95761,10755,3297,1947,1947,598,9.66,5.56,0.21,3.73
Xiaomi 14 CIVI,2024-05-07,2840,114164,82619,8642,2682,1759,1759,745,7.57,8.62,0.33,3.81
Samsung Galaxy A35 5G,2024-05-07,2841,106106,79849,7092,2446,2393,1621,675,6.68,9.52,0.4,4.21
realme 15 5G,2024-05-07,2172,83045,49802,7326,2126,1890,1574,339,8.82,4.63,0.3,6.41
IQOO Neo 10R 5G,2024-05-08,2562,109622,73404,6198,2307,1917,1917,396,5.65,6.39,0.41,6.47
Xiaomi 14 CIVI,2024-05-08,2963,135738,100935,10518,3421,2278,1921,615,7.75,5.85,0.28,4.82
Samsung Galaxy A35 5G,2024-05-08,2905,141405,104792,10029,3478,3139,1880,828,7.09,8.26,0.29,3.51
realme 15 5G,2024-05-08,2364,93223,56760,7926,2202,1993,1739,431,8.5,5.44,0.3,5.48
IQOO Neo 10R 5G,2024-05-09,2416,101281,77743,8590,2520,1938,1504,775,8.48,9.02,0.28,3.12
Xiaomi 14 CIVI,2024-05-09,2971,112942,91663,7124,3415,2507,1806,593,6.31,8.32,0.42,5.01
Samsung Galaxy A35 5G,2024-05-09,2944,135682,96818,11880,3709,2786,2583,570,8.76,4.8,0.25,5.16
realme 15 5G,2024-05-09,2263,114261,87049,10165,3202,2330,1848,642,8.9,6.32,0.22,3.52
IQOO Neo 10R 5G,2024-05-10,2467,99847,86426,9790,2633,2523,1799,436,9.81,4.45,0.25,5.66
Xiaomi 14 CIVI,2024-05-10,3200,110261,89804,9801,2453,2107,1841,739,8.89,7.54,0.33,4.33
Samsung Galaxy A35 5G,2024-05-10,2870,102105,69246,7564,2952,2419,1754,515,7.41,6.81,0.38,5.57
realme 15 5G,2024-05-10,2482,89893,73172,9101,2625,1779,1732,510,10.12,5.6,0.27,4.87
IQOO Neo 10R 5G,2024-05-11,2297,137829,116287,11624,4121,2435,2435,987,8.43,8.49,0.2,2.33
Xiaomi 14 CIVI,2024-05-11,2803,107339,80082,9698,2939,1907,1376,541,9.03,5.58,0.29,5.18
Samsung Galaxy A35 5G,2024-05-11,2669,135945,131202,9802,4405,3758,2217,1045,7.21,10.66,0.27,2.55
realme 15 5G,2024-05-11,2038,112839,85670,6635,3549,2371,1820,713,5.88,10.75,0.31,2.86
IQOO Neo 10R 5G,2024-05-12,2438,103592,66264,9238,3212,2118,1687,811,8.92,8.78,0.26,3.01
Xiaomi 14 CIVI,2024-05-12,3228,122009,85120,9691,2482,1840,1840,702,7.94,7.24,0.33,4.6
Samsung Galaxy A35 5G,2024-05-12,2993,183416,100911,13362,4589,3173,3173,865,7.29,6.47,0.22,3.46
realme 15 5G,2024-05-12,2484,113889,72359,7629,2950,2199,1816,838,6.7,10.98,0.33,2.96
IQOO Neo 10R 5G,2024-05-13,2352,119720,78476,7094,2902,2392,2052,783,5.93,11.04,0.33,3.0
Xiaomi 14 CIVI,2024-05-13,3292,148280,87933,11110,2898,3012,1856,792,7.49,7.13,0.3,4.16
Samsung Galaxy A35 5G,2024-05-13,2504,102488,73107,7315,3018,2385,1513,491,7.14,6.71,0.34,5.1
realme 15 5G,2024-05-13,2489,98273,77893,6008,1950,1555,1339,333,6.11,5.54,0.41,7.47
IQOO Neo 10R 5G,2024-05-14,2319,97050,74980,9780,2699,2433,2358,807,10.08,8.25,0.24,2.87
Xiaomi 14 CIVI,2024-05-14,3122,141306,91702,8237,3371,2365,1741,508,5.83,6.17,0.38,6.15
Samsung Galaxy A35 5G,2024-05-14,2894,118021,97573,10409,3547,2079,1865,765,8.82,7.35,0.28,3.78
realme 15 5G,2024-05-14,2453,99379,88437,7686,3168,2446,2306,458,7.73,5.96,0.32,5.36
IQOO Neo 10R 5G,2024-05-15,2517,102948,87516,9743,2810,2525,1491,838,9.46,8.6,0.26,3.0
Xiaomi 14 CIVI,2024-05-15,3088,127442,79656,9784,2717,2083,1929,559,7.68,5.71,0.32,5.52
Samsung Galaxy A35 5G,2024-05-15,2862,142155,103631,8817,3072,2356,2331,739,6.2,8.38,0.32,3.87
realme 15 5G,2024-05-15,2313,92669,75321,6916,2674,2031,1681,537,7.46,7.76,0.33,4.31
IQOO Neo 10R 5G,2024-05-16,2281,92291,74576,8304,2365,2280,1546,588,9.0,7.08,0.27,3.88
Xiaomi 14 CIVI,2024-05-16,2954,100156,98897,8922,2770,2106,2106,663,8.91,7.43,0.33,4.46
Samsung Galaxy A35 5G,2024-05-16,2995,105503,80750,9466,2955,2586,1732,723,8.97,7.64,0.32,4.14
realme 15 5G,2024-05-16,2334,129096,95126,7557,2652,1974,1974,816,5.85,10.8,0.31,2.86
IQOO Neo 10R 5G,2024-05-17,2391,89574,62420,5767,2167,2172,1821,493,6.44,8.55,0.41,4.85
Xiaomi 14 CIVI,2024-05-17,3009,101587,92684,7516,3115,2174,2174,639,7.4,8.5,0.4,4.71
Samsung Galaxy A35 5G,2024-05-17,2959,116074,90371,7552,2418,2526,2271,552,6.51,7.31,0.39,5.36
realme 15 5G,2024-05-17,2470,86609,59717,6220,2448,1596,1534,400,7.18,6.43,0.4,6.18
IQOO Neo 10R 5G,2024-05-18,2356,120022,93142,8735,2600,2664,2538,539,7.28,6.17,0.27,4.37
Xiaomi 14 CIVI,2024-05-18,3136,133068,71338,7048,2812,3000,2451,576,5.3,8.17,0.44,5.44
Samsung Galaxy A35 5G,2024-05-18,2886,102747,75313,7362,3298,2853,1970,642,7.17,8.72,0.39,4.5
realme 15 5G,2024-05-18,2280,115227,79938,8242,2559,2245,1586,424,7.15,5.14,0.28,5.38
IQOO Neo 10R 5G,2024-05-19,2508,112946,78701,8066,3301,2587,1714,899,7.14,11.15,0.31,2.79
Xiaomi 14 CIVI,2024-05-19,2823,121373,98098,7734,2699,2788,1766,794,6.37,10.27,0.37,3.56
Samsung Galaxy A35 5G,2024-05-19,2508,161391,92256,11650,3878,3173,2329,717,7.22,6.15,0.22,3.5
realme 15 5G,2024-05-19,2063,139293,109059,7378,3692,2348,2348,886,5.3,12.01,0.28,2.33
