Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase
Google Pixel 10 5G,2024-03-26,6311,88326,61858,7186,3632,2689,1642,888
iPhone 16 128 GB,2024-03-27,6505,122696,74372,8479,4464,3983,2126,707
Samsung Galaxy Z Flip6,2024-03-27,6952,133332,77401,10524,3740,3440,2225,804
OnePlus 13,2024-03-27,6024,108758,79129,7312,5718,3709,1729,836
Google Pixel 10 5G,2024-03-27,6033,111391,75296,10260,5855,3005,2261,806
iPhone 16 128 GB,2024-03-28,6442,110936,77175,7564,5104,4060,2897,927
Samsung Galaxy Z Flip6,2024-03-28,6276,97550,70469,8890,5416,3872,2291,730
OnePlus 13,2024-03-28,6242,138444,89440,7392,4519,3831,1641,941
Google Pixel 10 5G,2024-03-28,6074,132466,83348,7469,5451,3164,2761,1211
iPhone 16 128 GB,2024-03-29,6846,118659,84905,10055,4945,2874,2874,1308
Samsung Galaxy Z Flip6,2024-03-29,6117,144864,106534,8204,4600,3093,2059,1336
OnePlus 13,2024-03-29,6653,100430,70930,7040,5450,2720,2466,1271
Google Pixel 10 5G,2024-03-29,6260,123815,78941,9193,5546,3681,1919,862
iPhone 16 128 GB,2024-03-30,6784,162167,103577,12773,6636,4882,3427,1516
Samsung Galaxy Z Flip6,2024-03-30,6235,126224,94258,12441,5594,5361,2692,1405
OnePlus 13,2024-03-30,6319,95279,82600,9812,3931,3374,1680,800
Google Pixel 10 5G,2024-03-30,6004,120555,93811,6938,3513,3059,2705,620
iPhone 16 128 GB,2024-03-31,6839,129615,109376,11606,6474,4891,3048,1375
Samsung Galaxy Z Flip6,2024-03-31,6664,103071,70049,9696,3952,4396,2407,1208
OnePlus 13,2024-03-31,6038,91774,70551,7802,5344,3331,1937,942
Google Pixel 10 5G,2024-03-31,6622,115836,80920,9809,4226,4084,2783,1056
iPhone 16 128 GB,2024-04-01,6440,123659,93173,11275,5053,3356,3345,1015
Samsung Galaxy Z Flip6,2024-04-01,6521,145478,87798,9244,4877,3558,2943,915
OnePlus 13,2024-04-01,6947,144973,96050,11014,5963,3009,2604,1368
Google Pixel 10 5G,2024-04-01,6094,117982,65030,7647,3611,3739,1418,1048
iPhone 16 128 GB,2024-04-02,6841,135299,94548,9011,6279,3945,2425,1138
Samsung Galaxy Z Flip6,2024-04-02,6217,135985,93514,11866,5404,4283,2967,1561
OnePlus 13,2024-04-02,6355,110998,80484,9819,5160,2527,2527,1157
Google Pixel 10 5G,2024-04-02,6904,132334,82697,11492,5303,4687,2649,1273
iPhone 16 128 GB,2024-04-03,6621,134213,80064,9497,4400,3247,2828,1407
Samsung Galaxy Z Flip6,2024-04-03,6308,138240,97217,10724,6002,2841,2665,1241
OnePlus 13,2024-04-03,6601,110793,80629,11260,4077,2993,1996,1157
Google Pixel 10 5G,2024-04-03,6954,97539,92137,7514,4297,2890,1486,662
iPhone 16 128 GB,2024-04-04,6855,157863,109228,9042,4682,3681,2164,1273
Samsung Galaxy Z Flip6,2024-04-04,6848,129901,92132,7652,4143,3277,2887,1059
OnePlus 13,2024-04-04,6768,92757,89137,7282,5252,2674,2325,835
Google Pixel 10 5G,2024-04-04,6284,115355,80600,7505,3269,3252,2384,485
iPhone 16 128 GB,2024-04-05,6370,160715,93542,9702,5544,3360,3360,1594
Samsung Galaxy Z Flip6,2024-04-05,6643,118992,80764,10906,4473,3479,3191,837
OnePlus 13,2024-04-05,6086,99918,66627,7571,4034,3358,2550,520
Google Pixel 10 5G,2024-04-05,6758,128296,77258,8462,3600,3447,2307,753
iPhone 16 128 GB,2024-04-06,6050,153772,106730,11791,5639,4737,2234,946
Samsung Galaxy Z Flip6,2024-04-06,6119,125301,84726,7727,5173,2880,1925,1135
OnePlus 13,2024-04-06,6822,100661,72316,7767,3285,2808,1501,586
Google Pixel 10 5G,2024-04-06,6380,101002,76723,8579,3044,2609,2146,948
iPhone 16 128 GB,2024-04-07,6385,151710,85886,11364,4463,4626,2295,1071
Samsung Galaxy Z Flip6,2024-04-07,6225,116641,97002,8988,5167,4087,2382,853
OnePlus 13,2024-04-07,6726,111846,69395,9058,3728,2829,1702,816
Google Pixel 10 5G,2024-04-07,6757,104987,78192,7966,3392,2168,2168,1033
iPhone 16 128 GB,2024-04-08,6074,154357,108486,12117,6187,4450,2073,846
Samsung Galaxy Z Flip6,2024-04-08,6152,131433,81959,11980,4429,3022,3022,1438
OnePlus 13,2024-04-08,6609,141632,90891,9774,4275,3681,2725,1162
Google Pixel 10 5G,2024-04-08,6557,119186,70173,8603,4727,4152,2389,1228
iPhone 16 128 GB,2024-04-09,6793,163481,98521,10367,4750,4319,3112,1164
Samsung Galaxy Z Flip6,2024-04-09,6054,123959,72346,7687,3914,2670,2670,919
OnePlus 13,2024-04-09,6750,100975,85186,10835,3834,2957,1786,747
Google Pixel 10 5G,2024-04-09,6072,107896,66026,7392,4768,3470,1529,1093
iPhone 16 128 GB,2024-04-10,6038,134486,86100,10778,4892,2894,2022,1149
Samsung Galaxy Z Flip6,2024-04-10,6865,151339,106586,10391,5505,3559,2059,1156
OnePlus 13,2024-04-10,6338,97942,76076,8978,4855,3707,1824,738
Google Pixel 10 5G,2024-04-10,6088,113511,98966,11140,3915,4459,1641,835
iPhone 16 128 GB,2024-04-11,6710,141343,109386,11792,4543,3624,2495,1526
Samsung Galaxy Z Flip6,2024-04-11,6882,138602,92022,10000,5128,3908,2652,1022
OnePlus 13,2024-04-11,6934,109752,68462,7780,3780,3488,2556,690
Google Pixel 10 5G,2024-04-11,6187,105302,79178,9084,4268,3142,2413,662
iPhone 16 128 GB,2024-04-12,6038,154144,89912,12024,5574,4131,3030,1241
Samsung Galaxy Z Flip6,2024-04-12,6015,105965,72212,8941,3519,3029,2563,1066
OnePlus 13,2024-04-12,6758,118812,105626,8962,5542,4603,2875,678
Google Pixel 10 5G,2024-04-12,6476,111760,102018,7775,3750,4065,2984,946
iPhone 16 128 GB,2024-04-13,6920,138268,79791,7975,4196,3420,1914,1174
Samsung Galaxy Z Flip6,2024-04-13,6669,127836,86386,6749,5103,2729,1969,1133
OnePlus 13,2024-04-13,6888,120831,77197,9958,5592,4220,1618,954
Google Pixel 10 5G,2024-04-13,6439,125231,67122,8806,3986,3908,2393,744
iPhone 16 128 GB,2024-04-14,6329,125633,98238,9654,5769,4493,1878,774
Samsung Galaxy Z Flip6,2024-04-14,6520,121041,104438,9388,5561,4384,2212,1385
OnePlus 13,2024-04-14,6144,128051,101586,11111,4399,3744,2561,707
Google Pixel 10 5G,2024-04-14,6909,125915,85838,8698,5404,3630,2382,1161
iPhone 16 128 GB,2024-04-15,6920,145450,107547,8293,4588,4554,2070,1356
Samsung Galaxy Z Flip6,2024-04-15,6954,134002,107299,11411,5093,3027,2269,1013
OnePlus 13,2024-04-15,6601,112139,67937,9020,4525,3015,2079,1035
Google Pixel 10 5G,2024-04-15,6300,99316,85193,9427,4635,3967,2613,549
iPhone 16 128 GB,2024-04-16,6748,138240,94978,7370,5726,3760,1876,1033
Samsung Galaxy Z Flip6,2024-04-16,6815,135734,86814,8331,5845,4231,2283,943
OnePlus 13,2024-04-16,6699,104343,73323,6434,3682,2776,2259,965
Google Pixel 10 5G,2024-04-16,6671,119876,77992,10413,4854,4321,1607,869
iPhone 16 128 GB,2024-04-17,6588,167748,121442,9491,6848,4860,3512,1677
Samsung Galaxy Z Flip6,2024-04-17,6016,126141,72867,7285,3773,3247,1922,1220
OnePlus 13,2024-04-17,6466,146009,103625,9315,5075,4918,2452,1055
Google Pixel 10 5G,2024-04-17,6988,104993,73819,8897,4783,2616,2599,773
iPhone 16 128 GB,2024-04-18,6016,117652,92032,9114,4261,3231,1763,1110
Samsung Galaxy Z Flip6,2024-04-18,6209,117327,103196,8566,4684,3220,2626,1435
OnePlus 13,2024-04-18,6947,129997,93350,7721,3392,3275,2553,1197
Google Pixel 10 5G,2024-04-18,6927,138907,104355,8011,5899,4375,2535,888
