Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase,CTR,Purchase_Rate
HP Pavilion Gaming,2024-01-06,5233,166354,98646,11436,4564,2732,2379,384,0.0687449655553819,0.033578174186778595
Lenovo Ideapad Gaming 3,2024-01-06,2890,231245,105872,12113,3518,3169,1635,1226,0.05238167311725659,0.10121357219516222
Apple MacBook Air M2,2024-01-07,6572,141005,90495,12063,4173,2309,2309,857,0.08555015779582284,0.0710436873082981
ASUS Vivobook S 14 Flip,2024-01-07,3791,85713,90267,9375,3212,2253,1446,477,0.10937664064960974,0.05088
HP Pavilion Gaming,2024-01-07,3355,167498,89106,10240,3138,3798,1627,706,0.06113505832905468,0.0689453125
Lenovo Ideapad Gaming 3,2024-01-07,3249,213205,147468,11682,4324,4027,1707,1098,0.054792336014633805,0.09399075500770417
Apple MacBook Air M2,2024-01-08,6238,114392,101317,12946,2559,3244,2620,441,0.11317224980767886,0.03406457593078943
ASUS Vivobook S 14 Flip,2024-01-08,3138,107553,82152,8508,2040,2103,1255,629,0.07910518535047836,0.07393041842971321
HP Pavilion Gaming,2024-01-08,3835,99016,86869,13410,5179,2969,2381,590,0.13543265734830734,0.04399701715137957
Lenovo Ideapad Gaming 3,2024-01-08,2740,111676,149416,9812,4424,3304,1955,762,0.08786131308427952,0.0776600081532817
Apple MacBook Air M2,2024-01-09,5550,118416,73896,9782,3286,2323,2281,545,0.08260708012430752,0.05571457779595175
ASUS Vivobook S 14 Flip,2024-01-09,2812,113449,70231,12354,2325,2834,1410,608,0.10889474565663866,0.04921482920511575
HP Pavilion Gaming,2024-01-09,4193,135744,87193,11587,4441,4152,1636,531,0.08535920556341349,0.04582722016052473
Lenovo Ideapad Gaming 3,2024-01-09,3182,161539,120047,11466,6048,3427,1858,537,0.07097976340078867,0.04683411826268969
Apple MacBook Air M2,2024-01-10,5417,83752,78917,8639,3206,2479,2479,565,0.1031497755277486,0.06540108808889918
ASUS Vivobook S 14 Flip,2024-01-10,4104,117423,96434,9943,2352,3028,1445,723,0.08467676690256594,0.07271447249321131
HP Pavilion Gaming,2024-01-10,3947,94123,80432,11838,4388,3573,2246,633,0.1257715967404354,0.05347187024835276
Lenovo Ideapad Gaming 3,2024-01-10,3402,139525,147410,13371,4820,4437,2252,497,0.09583228812040853,0.03716999476478947
Apple MacBook Air M2,2024-01-11,6307,137572,119423,9653,4393,3364,1627,567,0.07016689442619138,0.05873821609862219
ASUS Vivobook S 14 Flip,2024-01-11,3563,99292,94157,12014,2282,2427,1635,797,0.1209966563267937,0.06633927085067422
HP Pavilion Gaming,2024-01-11,3692,96149,108100,11103,4688,4021,1534,684,0.11547702004181011,0.06160497162928938
Lenovo Ideapad Gaming 3,2024-01-11,3146,133940,110732,17590,3752,3209,2928,682,0.1313274600567418,0.03877202956225128
Apple MacBook Air M2,2024-01-12,5220,84117,85566,13161,4398,3346,1518,493,0.15646064410285673,0.03745915963832536
ASUS Vivobook S 14 Flip,2024-01-12,3269,111108,81676,11681,3114,3151,1736,453,0.10513194369442344,0.038780926290557315
HP Pavilion Gaming,2024-01-12,4632,130004,87289,12430,3868,4083,2077,312,0.09561244269407095,0.0251005631536605
Lenovo Ideapad Gaming 3,2024-01-12,2128,145405,91792,11741,3636,2858,2577,929,0.0807468794057976,0.07912443573801209
Apple MacBook Air M2,2024-01-13,5553,128983,90845,12479,4469,3413,1832,938,0.09674918400099237,0.07516627934930684
ASUS Vivobook S 14 Flip,2024-01-13,3950,116330,74037,11440,3466,2570,1319,391,0.09834092667411674,0.03417832167832168
HP Pavilion Gaming,2024-01-13,3999,160836,98357,17611,4530,3225,2049,663,0.10949663010768733,0.0376469252171938
Lenovo Ideapad Gaming 3,2024-01-13,2989,206190,125256,18618,3640,2808,2133,1004,0.09029535864978903,0.053926307874100333
Apple MacBook Air M2,2024-01-14,4152,114330,113969,8725,3327,3275,2355,538,0.07631417825592583,0.06166189111747851
ASUS Vivobook S 14 Flip,2024-01-14,3192,102293,88814,10240,2047,2636,1902,774,0.10010460148788285,0.0755859375
HP Pavilion Gaming,2024-01-14,3699,141942,108940,10236,3957,2970,1821,570,0.07211396204083358,0.05568581477139507
Lenovo Ideapad Gaming 3,2024-01-14,2350,214478,144561,17248,4936,4666,1762,665,0.0804185044619961,0.03855519480519481
Apple MacBook Air M2,2024-01-15,5229,127808,79823,12847,4100,3171,1934,683,0.10051796444667001,0.05316416283957344
ASUS Vivobook S 14 Flip,2024-01-15,3207,114840,70639,9712,2272,2754,2189,755,0.08456983629397423,0.07773887973640857
HP Pavilion Gaming,2024-01-15,4634,142749,116436,12908,3706,2807,2142,555,0.0904244513096414,0.04299659126123334
Lenovo Ideapad Gaming 3,2024-01-15,3071,99252,106715,11411,4276,3417,2612,892,0.11496997541611252,0.07817018666199281
Apple MacBook Air M2,2024-01-16,4115,116135,111187,7705,2868,2952,1856,713,0.06634520170491238,0.09253731343283582
ASUS Vivobook S 14 Flip,2024-01-16,2652,91146,68564,6935,2488,2069,2037,768,0.07608671801285849,0.11074260994953136
HP Pavilion Gaming,2024-01-16,4659,103652,128788,13242,4674,3277,2013,575,0.1277544089839077,0.04342244373961637
Lenovo Ideapad Gaming 3,2024-01-16,2898,168092,135987,14686,5076,3293,1908,960,0.08736882183566143,0.0653683780471197
Apple MacBook Air M2,2024-01-17,5567,87131,74488,11916,4332,3334,2513,684,0.136759591878895,0.05740181268882175
ASUS Vivobook S 14 Flip,2024-01-17,2783,95350,91666,9053,3411,3139,2174,683,0.09494493969585736,0.07544460399867448
HP Pavilion Gaming,2024-01-17,3123,108759,101264,14174,3664,3518,1619,398,0.13032484667935526,0.028079582333850713
Lenovo Ideapad Gaming 3,2024-01-17,2472,128746,98688,16762,4384,4118,1654,975,0.13019433613471487,0.058167283140436704
Apple MacBook Air M2,2024-01-18,3870,141403,77541,11258,5228,2258,1506,870,0.07961641549330636,0.07727837981879553
ASUS Vivobook S 14 Flip,2024-01-18,3412,66351,85611,10974,2686,3096,1397,527,0.1653931365013338,0.0480225988700565
HP Pavilion Gaming,2024-01-18,5073,167973,128954,10548,3931,2669,1819,617,0.06279580646889679,0.05849450132726583
Lenovo Ideapad Gaming 3,2024-01-18,3521,118955,137307,12266,5825,3269,2242,824,0.10311462317683158,0.06717756399804337
Apple MacBook Air M2,2024-01-19,4309,100427,118841,10528,3293,3611,1774,575,0.10483236579804237,0.05461626139817629
ASUS Vivobook S 14 Flip,2024-01-19,3554,130051,60217,11271,3307,1952,1388,547,0.0866660002614359,0.04853162984650874
HP Pavilion Gaming,2024-01-19,3430,144450,120738,11586,5365,4040,2321,410,0.08020768431983386,0.03538753668220266
Lenovo Ideapad Gaming 3,2024-01-19,2259,173436,86167,12990,5258,4548,2193,1175,0.07489794506330866,0.09045419553502694
Apple MacBook Air M2,2024-01-20,4159,168285,86434,7508,5292,3650,2711,557,0.04461479038535817,0.07418753329781566
ASUS Vivobook S 14 Flip,2024-01-20,3842,77289,61642,12266,2203,2857,1944,680,0.1587030495930857,0.05543779553236589
HP Pavilion Gaming,2024-01-20,3979,194663,112043,17353,3723,3266,1444,398,0.08914380236614046,0.022935515472828905
Lenovo Ideapad Gaming 3,2024-01-20,2994,180198,124669,18413,4116,3217,1820,1058,0.10218204419582903,0.05745940368218107
Apple MacBook Air M2,2024-01-21,5480,111861,83846,11532,4294,2457,1953,467,0.10309223053611179,0.04049601109954908
ASUS Vivobook S 14 Flip,2024-01-21,3156,127148,70128,6024,2518,3177,1537,629,0.047377858873124234,0.10441567065073042
HP Pavilion Gaming,2024-01-21,3311,145254,111909,11854,5737,3960,2211,403,0.0816087680890027,0.03399696305044711
Lenovo Ideapad Gaming 3,2024-01-21,3024,186374,138005,19010,5607,3093,2323,1231,0.10199920589781837,0.06475539189900052
Apple MacBook Air M2,2024-01-22,4764,127627,99993,9568,4261,2476,2383,893,0.07496846278608758,0.0933319397993311
ASUS Vivobook S 14 Flip,2024-01-22,4649,98154,71799,5795,3217,3089,1301,648,0.05903987611304685,0.11182053494391717
HP Pavilion Gaming,2024-01-22,3077,145520,77601,11279,3615,4090,2308,526,0.07750824628916987,0.04663534001241245
Lenovo Ideapad Gaming 3,2024-01-22,2810,162835,137021,10164,3553,4699,2434,995,0.06241901311143182,0.09789452971271154
Apple MacBook Air M2,2024-01-23,5626,98935,112507,9709,4641,2522,2075,633,0.09813513923282964,0.06519723967452878
ASUS Vivobook S 14 Flip,2024-01-23,2493,125517,97394,6382,2827,2192,1562,463,0.05084570217580089,0.07254779066123472
HP Pavilion Gaming,2024-01-23,3158,130913,89476,14174,4169,3418,1509,406,0.10827037803732249,0.028643996049103993
Lenovo Ideapad Gaming 3,2024-01-23,3857,138025,119628,12852,4688,2962,2805,1152,0.09311356638290165,0.0896358543417367
Apple MacBook Air M2,2024-01-24,4111,155630,66971,7220,4991,2440,1770,588,0.04639208378847266,0.0814404432132964
ASUS Vivobook S 14 Flip,2024-01-24,3558,71744,70572,10196,3249,2913,1765,425,0.1421164139161463,0.041683012946253435
HP Pavilion Gaming,2024-01-24,3876,105376,73292,13637,4582,4193,1634,409,0.12941276951108413,0.02999193370976021
Lenovo Ideapad Gaming 3,2024-01-24,2707,166656,86533,13701,4410,3588,2700,599,0.08221126152073732,0.04371943653747901
Apple MacBook Air M2,2024-01-25,5569,153410,115397,7770,3780,2783,1648,760,0.05064858874910371,0.0978120978120978
ASUS Vivobook S 14 Flip,2024-01-25,4164,93873,76100,8174,2901,2216,2188,747,0.08707509081418512,0.09138732566674823
HP Pavilion Gaming,2024-01-25,3042,148563,99484,9216,3932,2940,1584,663,0.062034288483673594,0.07194010416666667
Lenovo Ideapad Gaming 3,2024-01-25,2310,137268,86454,8206,3755,4501,2831,739,0.05978086662587056,0.0900560565439922
Apple MacBook Air M2,2024-01-26,6167,132982,86066,7758,2593,2245,2245,556,0.058338722533876765,0.07166795565867491
ASUS Vivobook S 14 Flip,2024-01-26,3808,102350,74026,10347,2301,2586,1920,726,0.1010942843185149,0.0701652652942882
HP Pavilion Gaming,2024-01-26,3937,114754,114128,13138,3622,3386,2343,555,0.11448838384718615,0.04224387273557619
Lenovo Ideapad Gaming 3,2024-01-26,2879,191135,134875,9654,4567,3780,2840,572,0.05050880267873493,0.059250051792003315
Apple MacBook Air M2,2024-01-27,4650,118943,73381,12349,4482,3687,2303,894,0.10382283951136259,0.07239452587254029
ASUS Vivobook S 14 Flip,2024-01-27,3880,135623,64997,12081,3405,2677,1484,776,0.08907781128569638,0.06423309328697956
HP Pavilion Gaming,2024-01-27,3093,133371,91555,14293,4552,3649,1714,353,0.10716722525886437,0.024697404323794865
Lenovo Ideapad Gaming 3,2024-01-27,2981,164430,92479,11118,5190,3055,1707,970,0.0676153986498814,0.08724590753732686
Apple MacBook Air M2,2024-01-28,3572,89970,87236,8711,3403,3362,2443,593,0.09682116260975882,0.06807484789346803
ASUS Vivobook S 14 Flip,2024-01-28,2936,93613,84755,10196,3036,2773,1425,612,0.10891649664042387,0.06002353864260494
HP Pavilion Gaming,2024-01-28,3981,147539,73590,12725,3675,2654,2508,397,0.08624838178379954,0.031198428290766207
Lenovo Ideapad Gaming 3,2024-01-28,1967,203183,97826,16158,5836,3699,1608,1018,0.07952436965691027,0.06300284688699097
Apple MacBook Air M2,2024-01-29,4851,87823,82075,6480,4089,3422,1971,780,0.0737847716429637,0.12037037037037036
ASUS Vivobook S 14 Flip,2024-01-29,3131,92725,73315,8094,3383,3109,1972,596,0.08729037476408735,0.07363479120336051
HP Pavilion Gaming,2024-01-29,4198,158899,122970,14374,4829,4018,2471,496,0.09045997772169743,0.0345067482955336
Lenovo Ideapad Gaming 3,2024-01-29,3128,169133,131287,9761,5341,4361,2213,790,0.057711978147375144,0.08093433049892429
Apple MacBook Air M2,2024-01-30,4726,125231,70740,9917,3338,2214,2142,700,0.07918965751291614,0.07058586266007866
ASUS Vivobook S 14 Flip,2024-01-30,2958,119623,79245,11808,3416,2041,1219,622,0.09871011427568277,0.05267615176151762
HP Pavilion Gaming,2024-01-30,5250,98361,126350,8457,4882,3763,2349,350,0.08597919907280324,0.04138583422017264
Lenovo Ideapad Gaming 3,2024-01-30,3505,156358,111364,15175,6979,4105,1694,911,0.09705291702375318,0.0600329489291598
Apple MacBook Air M2,2024-01-31,3947,114707,65200,9662,4430,2949,1854,613,0.08423199979077127,0.06344442144483543
ASUS Vivobook S 14 Flip,2024-01-31,3795,126918,61506,11618,3325,2518,2091,589,0.09153941915252367,0.05069719400929592
HP Pavilion Gaming,2024-01-31,3135,103033,70534,14957,3408,3946,2538,488,0.1451670823910786,0.03262686367587083
Lenovo Ideapad Gaming 3,2024-01-31,3059,139778,100413,15717,4813,3416,1644,1037,0.11244258753165734,0.0659795126296367
Apple MacBook Air M2,2024-02-01,5453,118869,94218,7196,3474,3637,2181,630,0.060537230059981996,0.08754863813229571
ASUS Vivobook S 14 Flip,2024-02-01,3494,109612,88654,6603,2838,2737,1530,539,0.060239754771375394,0.0816295623201575
HP Pavilion Gaming,2024-02-01,4816,128981,70022,10889,3677,3719,1490,387,0.08442328715082066,0.035540453668840115
Lenovo Ideapad Gaming 3,2024-02-01,2486,169890,99014,12557,5976,4667,2490,719,0.07391253163811878,0.05725889941865095
Apple MacBook Air M2,2024-02-02,4576,90519,111491,13698,4200,2326,2326,734,0.15132734564014186,0.05358446488538473
ASUS Vivobook S 14 Flip,2024-02-02,4173,85178,95508,10503,3477,2264,1395,669,0.12330648759069243,0.06369608683233362
HP Pavilion Gaming,2024-02-02,4373,112232,123872,8159,4881,2605,2116,395,0.07269762634542733,0.0484127956857458
Lenovo Ideapad Gaming 3,2024-02-02,2405,104417,110235,16425,4989,3382,2317,979,0.1573019719011272,0.05960426179604262
Apple MacBook Air M2,2024-02-03,5031,139470,116316,13444,3560,2557,2472,874,0.09639348963934896,0.06501041356739065
ASUS Vivobook S 14 Flip,2024-02-03,4215,125704,78964,11116,2729,2625,1725,481,0.0884299624514733,0.043270960777258005
HP Pavilion Gaming,2024-02-03,4193,130979,90114,18494,4879,3045,2423,508,0.1411982073462158,0.027468368119390074
Lenovo Ideapad Gaming 3,2024-02-03,3041,233926,86371,19111,4569,4081,2924,1229,0.08169677590349085,0.06430851342158966
Apple MacBook Air M2,2024-02-04,4387,126599,73320,10737,4259,2810,2663,491,0.08481109645415841,0.04572971966098538
ASUS Vivobook S 14 Flip,2024-02-04,4363,121119,77059,9716,2875,3016,1297,497,0.08021862796093099,0.051152737752161385
HP Pavilion Gaming,2024-02-04,4078,159260,109347,12306,3358,2760,2315,451,0.07726987316338063,0.03664878920851617
Lenovo Ideapad Gaming 3,2024-02-04,2996,194319,142065,24620,5058,3632,2282,756,0.12669888173570262,0.030706742485783915
Apple MacBook Air M2,2024-02-05,5527,126466,67640,7039,3961,2839,2309,482,0.05565922856736198,0.0684756357437136
ASUS Vivobook S 14 Flip,2024-02-05,3848,111710,86763,5988,2545,2094,1832,386,0.05360307940202309,0.0644622578490314
HP Pavilion Gaming,2024-02-05,3379,94837,121230,10758,3953,3459,2096,459,0.11343673882556386,0.04266592303402119
Lenovo Ideapad Gaming 3,2024-02-05,2162,141605,132130,11739,5597,4180,2652,558,0.08289961512658452,0.04753386148734986
Apple MacBook Air M2,2024-02-06,5769,143242,100808,9890,2572,2545,2026,937,0.06904399547618716,0.09474216380182002
ASUS Vivobook S 14 Flip,2024-02-06,3142,116257,67722,8180,2990,2925,2012,489,0.07036135458510025,0.0597799511002445
HP Pavilion Gaming,2024-02-06,3916,110410,93167,10365,3090,3621,1988,464,0.09387736618059958,0.04476603955619875
Lenovo Ideapad Gaming 3,2024-02-06,2832,122764,149214,10002,5108,4257,2409,695,0.08147339610960869,0.06948610277944411
Apple MacBook Air M2,2024-02-07,5910,99761,85583,11656,2748,3275,2200,749,0.11683924579745592,0.06425875085792725
ASUS Vivobook S 14 Flip,2024-02-07,3248,78886,66052,12263,2558,2161,1954,602,0.15545217148796997,0.049090760825246674
HP Pavilion Gaming,2024-02-07,4346,96583,100238,11486,3076,3534,1413,658,0.11892362009877515,0.05728713216089152
Lenovo Ideapad Gaming 3,2024-02-07,2128,187498,136007,8906,3714,3558,1924,990,0.04749917332451546,0.11116101504603638
Apple MacBook Air M2,2024-02-08,4067,90753,105814,13546,3463,2391,1801,494,0.14926228334049563,0.036468330134357005
ASUS Vivobook S 14 Flip,2024-02-08,4381,72016,98454,11099,3426,3062,2005,326,0.15411852921572983,0.029372015496891613
HP Pavilion Gaming,2024-02-08,4493,137354,79549,8274,3332,3464,2056,519,0.0602385077973703,0.06272661348803481
Lenovo Ideapad Gaming 3,2024-02-08,3199,180258,90214,15702,4351,2810,1931,866,0.08710847784841727,0.05515220990956566
Apple MacBook Air M2,2024-02-09,4811,108756,112183,10206,3375,3122,1506,534,0.09384309831181728,0.052322163433274546
ASUS Vivobook S 14 Flip,2024-02-09,2885,93171,74656,7386,2599,2332,1416,605,0.0792735937147825,0.08191172488491741
HP Pavilion Gaming,2024-02-09,3405,110130,95680,8004,3038,2659,2289,435,0.07267774448379188,0.05434782608695652
Lenovo Ideapad Gaming 3,2024-02-09,2567,172589,141262,11251,4488,3224,2932,943,0.06518955437484428,0.08381477202026487
Apple MacBook Air M2,2024-02-10,4466,112934,116128,13821,4502,2846,2756,898,0.12238121380629394,0.06497359091237971
ASUS Vivobook S 14 Flip,2024-02-10,3092,96170,90584,10151,2198,2461,1254,810,0.10555266715191848,0.07979509407940104
HP Pavilion Gaming,2024-02-10,3310,137180,105100,14830,4844,3623,1983,743,0.10810613792097973,0.05010114632501686
Lenovo Ideapad Gaming 3,2024-02-10,3013,172425,118996,18307,4859,4648,2432,1167,0.10617369870958387,0.06374610804610259
Apple MacBook Air M2,2024-02-11,3622,104835,103475,11511,4175,3142,1944,558,0.10980111603949062,0.04847537138389367
ASUS Vivobook S 14 Flip,2024-02-11,3393,112632,74227,8786,2968,2948,1303,761,0.07800625044392358,0.08661506942863646
HP Pavilion Gaming,2024-02-11,4572,140438,128513,10860,3909,3455,2047,541,0.07732949771429386,0.0498158379373849
Lenovo Ideapad Gaming 3,2024-02-11,3176,168067,127094,20841,4037,3229,2843,680,0.1240041174055585,0.03262799289861331
Apple MacBook Air M2,2024-02-12,6075,153170,97208,8817,3970,3088,1856,627,0.05756349154534178,0.07111262334127254
ASUS Vivobook S 14 Flip,2024-02-12,3038,88613,55752,9965,3169,2567,1305,381,0.11245528308487468,0.03823381836427496
HP Pavilion Gaming,2024-02-12,4820,123712,97654,16131,3236,2507,2109,307,0.1303915545783756,0.0190316781352675
Lenovo Ideapad Gaming 3,2024-02-12,2481,151439,90710,11499,4149,4487,1760,1006,0.07593156320366616,0.08748586833637707
Apple MacBook Air M2,2024-02-13,4828,117260,83222,11208,3674,2429,2429,576,0.09558246631417364,0.05139186295503212
ASUS Vivobook S 14 Flip,2024-02-13,3369,110479,89036,9588,2827,2916,2169,368,0.08678572398374351,0.03838130997079683
HP Pavilion Gaming,2024-02-13,3273,109533,82799,12664,4943,3251,1769,344,0.11561812421827213,0.027163613392293114
Lenovo Ideapad Gaming 3,2024-02-13,3443,106240,124843,15164,5462,4404,2817,680,0.14273343373493977,0.04484304932735426
Apple MacBook Air M2,2024-02-14,4189,148545,65472,11906,3508,3301,2260,560,0.08015079605506749,0.04703510834873173
ASUS Vivobook S 14 Flip,2024-02-14,4605,121753,87060,8371,2723,2474,1994,504,0.06875395267467742,0.06020786047067256
HP Pavilion Gaming,2024-02-14,4269,89958,96663,8489,4990,4154,1927,528,0.09436625981013362,0.06219813876781718
Lenovo Ideapad Gaming 3,2024-02-14,2835,192343,90029,14604,4476,3866,1955,1141,0.07592685982853548,0.07812927964941112
Apple MacBook Air M2,2024-02-15,4390,152602,78173,10894,3833,3652,2226,765,0.07138831732218451,0.07022214062786855
ASUS Vivobook S 14 Flip,2024-02-15,2631,99433,75914,7360,2453,3140,1465,429,0.07401969165166494,0.058288043478260866
HP Pavilion Gaming,2024-02-15,3884,110151,91454,11209,4919,4149,2051,422,0.10176031084602047,0.037648318315639216
Lenovo Ideapad Gaming 3,2024-02-15,2770,138764,149210,13809,6908,4304,2868,699,0.09951428324349255,0.05061916141646752
Apple MacBook Air M2,2024-02-16,4057,118586,88192,9302,4140,3564,2288,682,0.07844096267687585,0.07331756611481402
ASUS Vivobook S 14 Flip,2024-02-16,3825,126901,84226,6673,3318,1922,1784,692,0.05258429799607568,0.10370148359058894
HP Pavilion Gaming,2024-02-16,3301,111796,82157,9493,5590,3694,1737,489,0.0849135926151204,0.05151164015590435
Lenovo Ideapad Gaming 3,2024-02-16,2390,170629,110423,13745,5898,3174,2539,850,0.08055488809053561,0.061840669334303384
Apple MacBook Air M2,2024-02-17,5067,202217,73589,11896,4241,3206,2010,814,0.05882789280822087,0.06842636180228648
ASUS Vivobook S 14 Flip,2024-02-17,3040,117360,87389,11195,2764,2235,1287,596,0.09539025221540559,0.05323805270209915
HP Pavilion Gaming,2024-02-17,4452,112490,100095,12260,4292,3830,2365,500,0.10898746555249356,0.040783034257748776
Lenovo Ideapad Gaming 3,2024-02-17,2447,186403,91967,11295,5734,2874,2589,622,0.06059451832856767,0.05506861443116423
Apple MacBook Air M2,2024-02-18,4200,104063,92246,12491,3623,3475,2101,483,0.12003305689822512,0.038667840845408696
ASUS Vivobook S 14 Flip,2024-02-18,2749,75490,78572,9817,2352,2076,1705,411,0.1300437143992582,0.041866150555159416
HP Pavilion Gaming,2024-02-18,3445,154229,113712,14617,5028,3297,1952,747,0.09477465327532436,0.051104877881918316
Lenovo Ideapad Gaming 3,2024-02-18,3099,226714,94356,14957,4333,3340,2585,795,0.06597298799368367,0.053152370127699404
Apple MacBook Air M2,2024-02-19,6251,156184,97540,7516,3526,2964,2018,383,0.048122727039901655,0.050957956359765834
ASUS Vivobook S 14 Flip,2024-02-19,3780,132589,91703,11980,2330,2091,2091,645,0.09035440345730038,0.05383973288814691
HP Pavilion Gaming,2024-02-19,3074,95895,93918,13696,3480,2701,1577,595,0.14282287919078157,0.043443341121495324
Lenovo Ideapad Gaming 3,2024-02-19,3090,135991,89391,15373,5389,4386,2550,1069,0.11304424557507482,0.0695375008131139
Apple MacBook Air M2,2024-02-20,3794,132962,95570,14520,3935,2880,2673,486,0.10920413351183045,0.03347107438016529
ASUS Vivobook S 14 Flip,2024-02-20,2806,106174,91738,7923,3303,2403,1934,405,0.07462278900672481,0.05111700113593336
HP Pavilion Gaming,2024-02-20,4816,122894,94713,16191,4848,3526,1773,590,0.13174768499682654,0.036439997529491695
Lenovo Ideapad Gaming 3,2024-02-20,3366,168243,149649,9302,4985,3252,1791,1128,0.055289075919949124,0.1212642442485487
Apple MacBook Air M2,2024-02-21,4369,85762,87767,13929,2613,2297,1584,668,0.16241458921200533,0.0479574987436284
ASUS Vivobook S 14 Flip,2024-02-21,3545,88295,56006,10409,2690,2611,2196,500,0.11788889518092757,0.04803535402055913
HP Pavilion Gaming,2024-02-21,3719,92330,91977,17821,4363,3473,1965,314,0.19301418823784253,0.01761966219628528
Lenovo Ideapad Gaming 3,2024-02-21,2992,154838,80796,11383,5437,4501,2596,1177,0.07351554527958253,0.10339980672933322
Apple MacBook Air M2,2024-02-22,3778,114880,86719,11475,3392,3489,1874,926,0.09988683844011143,0.08069716775599128
ASUS Vivobook S 14 Flip,2024-02-22,3703,68956,85325,10195,2900,2486,1411,514,0.14784790301061546,0.05041687101520353
HP Pavilion Gaming,2024-02-22,3298,139687,85506,13470,4675,2669,1619,515,0.09642987536420712,0.03823311061618411
Lenovo Ideapad Gaming 3,2024-02-22,3452,130350,93674,15810,4393,3862,2417,1065,0.12128883774453394,0.06736242884250475
Apple MacBook Air M2,2024-02-23,4880,116396,74361,11695,5205,3219,1687,712,0.10047596137324306,0.060880718255664816
ASUS Vivobook S 14 Flip,2024-02-23,4317,106428,93040,10674,3065,3041,1405,387,0.10029315593640771,0.03625632377740304
HP Pavilion Gaming,2024-02-23,3267,156778,83269,8947,4555,3475,2437,641,0.05706795596320913,0.07164412652285683
Lenovo Ideapad Gaming 3,2024-02-23,2192,124715,98661,17292,3510,4437,2716,965,0.1386521268492162,0.05580615313439741
Apple MacBook Air M2,2024-02-24,3911,98695,115865,15413,2990,2775,2689,474,0.1561679922995086,0.030753260234866672
ASUS Vivobook S 14 Flip,2024-02-24,4660,89413,65217,12642,2366,3012,2029,447,0.14138883607529107,0.035358329378262936
HP Pavilion Gaming,2024-02-24,2667,154638,99220,15786,4048,2680,2364,720,0.10208357583517634,0.04561003420752566
Lenovo Ideapad Gaming 3,2024-02-24,2422,132676,99497,20291,4698,3484,2989,856,0.1529364768307757,0.042186190922083686
Apple MacBook Air M2,2024-02-25,5970,163507,77000,13117,3827,2562,2212,905,0.08022286507611295,0.0689944347030571
